Accession,Original Taxonomy,Updated Taxonomy,Final Taxonomy,Name,Original Evaluation,Updated Evaluation,Final Classifier,ContML data
AGO02077.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGO02083.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGO02106.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGO02113.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGO02119.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGO02134.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGO02140.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGO02146.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGO45835.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGO59220.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
AGO59222.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
AGO59230.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
AGO59232.1,Cyclovirus,Cyclovirus,Cyclovirus,replication-association protein,X,X,X,X
AGO59951.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGO63994.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGO64000.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGO64006.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGO64048.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGO65032.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AGO65036.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AGO96957.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AGQ47127.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AGQ47207.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AGQ47219.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AGQ47222.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AGQ49461.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AGQ51983.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ51987.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,X
AGQ51989.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ51991.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ51995.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ52003.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ52009.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AGQ52011.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ52015.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ52019.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ52035.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ52039.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ52059.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ52061.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ52071.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ52077.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,X
AGQ52079.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,X
AGQ52081.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ52089.1,Circovirus,Circovirus,Circovirus,replication-associated proteins,X,X,X,
AGQ54651.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AGR34335.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGR34341.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGR83816.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
