Accession,Original Taxonomy,Updated Taxonomy,Final Taxonomy,Name,Original Evaluation,Updated Evaluation,Final Classifier,ContML data
AHA82274.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA92970.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AHA92972.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AHB20291.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AHB20296.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AHB37374.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHB52747.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AHB60214.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AHB63236.1,Circovirus,Circovirus,Circovirus,replication associated protein,X,X,X,
AHB63238.1,Circovirus,Circovirus,Circovirus,replication associated protein,X,X,X,
AHB63240.1,Circovirus,Circovirus,Circovirus,replication associated protein,X,X,X,
AHB63242.1,Circovirus,Circovirus,Circovirus,replication associated protein,X,X,X,X
AHB73963.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHB73969.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHB73979.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHB73985.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHB82041.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AHB82047.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AHC70182.1,Circovirus,Circovirus,Circovirus,putative replication-associated protein,X,X,X,
AHC70188.1,Circovirus,Circovirus,Circovirus,putative replication-associated protein,X,X,X,
AHC70196.1,Circovirus,Circovirus,Circovirus,putative replication-associated protein,X,X,X,
